mm_zf_gene	zf_gene	mm_gene
mm_zf_gene_9806	ENSDARG00000035132	ENSMUSG00000059810
mm_zf_gene_9807	ENSDARG00000070047	ENSMUSG00000038530
mm_zf_gene_9808	ENSDARG00000002644	ENSMUSG00000026678
mm_zf_gene_9809	ENSDARG00000015627	ENSMUSG00000021219
mm_zf_gene_9810	ENSDARG00000016584	ENSMUSG00000026527
mm_zf_gene_9811	ENSDARG00000060601	ENSMUSG00000021719
mm_zf_gene_9812	ENSDARG00000016742	ENSMUSG00000021719
mm_zf_gene_9813	ENSDARG00000070037	ENSMUSG00000026475
mm_zf_gene_9814	ENSDARG00000070037	ENSMUSG00000042671
mm_zf_gene_9815	ENSDARG00000037925	ENSMUSG00000020599
mm_zf_gene_9816	ENSDARG00000045156	ENSMUSG00000020599
mm_zf_gene_9817	ENSDARG00000019253	ENSMUSG00000023926
mm_zf_gene_9818	ENSDARG00000021046	ENSMUSG00000026142
mm_zf_gene_9819	ENSDARG00000092463	ENSMUSG00000039917
mm_zf_gene_9820	ENSDARG00000079816	ENSMUSG00000034175
mm_zf_gene_9821	ENSDARG00000036541	ENSMUSG00000020282
mm_zf_gene_9822	ENSDARG00000087040	ENSMUSG00000025735
mm_zf_gene_9823	ENSDARG00000069833	ENSMUSG00000043333
mm_zf_gene_9824	ENSDARG00000105190	ENSMUSG00000017692
mm_zf_gene_9825	ENSDARG00000009018	ENSMUSG00000103766
mm_zf_gene_9826	ENSDARG00000009018	ENSMUSG00000104445
mm_zf_gene_9827	ENSDARG00000003203	ENSMUSG00000030549
mm_zf_gene_9828	ENSDARG00000100265	ENSMUSG00000030549
mm_zf_gene_9829	ENSDARG00000002194	ENSMUSG00000028825
mm_zf_gene_9830	ENSDARG00000002193	ENSMUSG00000030324
mm_zf_gene_9831	ENSDARG00000079468	ENSMUSG00000019944
mm_zf_gene_9832	ENSDARG00000074828	ENSMUSG00000022075
mm_zf_gene_9833	ENSDARG00000089340	ENSMUSG00000022075
mm_zf_gene_9834	ENSDARG00000054389	ENSMUSG00000029449
mm_zf_gene_9835	ENSDARG00000068653	ENSMUSG00000073982
mm_zf_gene_9836	ENSDARG00000004301	ENSMUSG00000073982
mm_zf_gene_9837	ENSDARG00000070121	ENSMUSG00000029204
mm_zf_gene_9838	ENSDARG00000020250	ENSMUSG00000046768
mm_zf_gene_9839	ENSDARG00000070666	ENSMUSG00000030324
mm_zf_gene_9840	ENSDARG00000025953	ENSMUSG00000024143
mm_zf_gene_9841	ENSDARG00000099996	ENSMUSG00000017686
mm_zf_gene_9842	ENSDARG00000103313	ENSMUSG00000017686
mm_zf_gene_9843	ENSDARG00000056328	ENSMUSG00000093593
mm_zf_gene_9844	ENSDARG00000056328	ENSMUSG00000025733
mm_zf_gene_9845	ENSDARG00000019709	ENSMUSG00000039960
mm_zf_gene_9846	ENSDARG00000070434	ENSMUSG00000034226
mm_zf_gene_9847	ENSDARG00000052454	ENSMUSG00000022580
mm_zf_gene_9848	ENSDARG00000014577	ENSMUSG00000030494
mm_zf_gene_9849	ENSDARG00000055739	ENSMUSG00000025257
mm_zf_gene_9850	ENSDARG00000075177	ENSMUSG00000022431
mm_zf_gene_9851	ENSDARG00000007247	ENSMUSG00000025485
mm_zf_gene_9852	ENSDARG00000005972	ENSMUSG00000035620
mm_zf_gene_9853	ENSDARG00000100867	ENSMUSG00000050310
mm_zf_gene_9854	ENSDARG00000002020	ENSMUSG00000050310
mm_zf_gene_9855	ENSDARG00000062650	ENSMUSG00000036202
mm_zf_gene_9856	ENSDARG00000074660	ENSMUSG00000038195
mm_zf_gene_9857	ENSDARG00000024818	ENSMUSG00000029401
mm_zf_gene_9858	ENSDARG00000016830	ENSMUSG00000048899
mm_zf_gene_9859	ENSDARG00000074680	ENSMUSG00000041670
mm_zf_gene_9860	ENSDARG00000101606	ENSMUSG00000037386
mm_zf_gene_9861	ENSDARG00000062305	ENSMUSG00000032890
mm_zf_gene_9862	ENSDARG00000079095	ENSMUSG00000024883
mm_zf_gene_9863	ENSDARG00000074589	ENSMUSG00000001768
mm_zf_gene_9864	ENSDARG00000005547	ENSMUSG00000028999
mm_zf_gene_9865	ENSDARG00000016399	ENSMUSG00000021428
mm_zf_gene_9866	ENSDARG00000042751	ENSMUSG00000024404
mm_zf_gene_9867	ENSDARG00000006677	ENSMUSG00000021408
mm_zf_gene_9868	ENSDARG00000104290	ENSMUSG00000041135
mm_zf_gene_9869	ENSDARG00000043211	ENSMUSG00000005251
mm_zf_gene_9870	ENSDARG00000054103	ENSMUSG00000047897
mm_zf_gene_9871	ENSDARG00000070535	ENSMUSG00000072945
mm_zf_gene_9872	ENSDARG00000036974	ENSMUSG00000022941
mm_zf_gene_9873	ENSDARG00000069150	ENSMUSG00000028057
mm_zf_gene_9874	ENSDARG00000063553	ENSMUSG00000049878
mm_zf_gene_9875	ENSDARG00000079306	ENSMUSG00000056537
mm_zf_gene_9876	ENSDARG00000070780	ENSMUSG00000045232
mm_zf_gene_9877	ENSDARG00000074507	ENSMUSG00000028229
mm_zf_gene_9878	ENSDARG00000041407	ENSMUSG00000070730
mm_zf_gene_9879	ENSDARG00000041376	ENSMUSG00000035367
mm_zf_gene_9880	ENSDARG00000027465	ENSMUSG00000019763
mm_zf_gene_9881	ENSDARG00000043359	ENSMUSG00000001054
mm_zf_gene_9882	ENSDARG00000042571	ENSMUSG00000020630
mm_zf_gene_9883	ENSDARG00000018891	ENSMUSG00000052926
mm_zf_gene_9884	ENSDARG00000005128	ENSMUSG00000021932
mm_zf_gene_9885	ENSDARG00000069461	ENSMUSG00000040904
mm_zf_gene_9886	ENSDARG00000069461	ENSMUSG00000093989
mm_zf_gene_9887	ENSDARG00000104458	ENSMUSG00000040904
mm_zf_gene_9888	ENSDARG00000104458	ENSMUSG00000093989
mm_zf_gene_9889	ENSDARG00000043196	ENSMUSG00000021876
mm_zf_gene_9890	ENSDARG00000036171	ENSMUSG00000021876
mm_zf_gene_9891	ENSDARG00000036282	ENSMUSG00000094724
mm_zf_gene_9892	ENSDARG00000036282	ENSMUSG00000095687
mm_zf_gene_9893	ENSDARG00000070735	ENSMUSG00000001313
mm_zf_gene_9894	ENSDARG00000076799	ENSMUSG00000017144
mm_zf_gene_9895	ENSDARG00000007396	ENSMUSG00000017144
mm_zf_gene_9896	ENSDARG00000079687	ENSMUSG00000041740
mm_zf_gene_9897	ENSDARG00000100850	ENSMUSG00000052656
mm_zf_gene_9898	ENSDARG00000078802	ENSMUSG00000032217
mm_zf_gene_9899	ENSDARG00000037930	ENSMUSG00000098134
mm_zf_gene_9900	ENSDARG00000037930	ENSMUSG00000036537
mm_zf_gene_9901	ENSDARG00000009886	ENSMUSG00000006418
mm_zf_gene_9902	ENSDARG00000062450	ENSMUSG00000028098
mm_zf_gene_9903	ENSDARG00000040635	ENSMUSG00000028557
mm_zf_gene_9904	ENSDARG00000060282	ENSMUSG00000070426
mm_zf_gene_9905	ENSDARG00000031269	ENSMUSG00000041528
mm_zf_gene_9906	ENSDARG00000104076	ENSMUSG00000035890
mm_zf_gene_9907	ENSDARG00000016867	ENSMUSG00000031438
mm_zf_gene_9908	ENSDARG00000019438	ENSMUSG00000036503
mm_zf_gene_9909	ENSDARG00000089767	ENSMUSG00000020376
mm_zf_gene_9910	ENSDARG00000036929	ENSMUSG00000037075
mm_zf_gene_9911	ENSDARG00000043905	ENSMUSG00000060450
mm_zf_gene_9912	ENSDARG00000041802	ENSMUSG00000030788
mm_zf_gene_9913	ENSDARG00000020600	ENSMUSG00000020642
mm_zf_gene_9914	ENSDARG00000024940	ENSMUSG00000038068
mm_zf_gene_9915	ENSDARG00000032373	ENSMUSG00000019189
mm_zf_gene_9916	ENSDARG00000089981	ENSMUSG00000038876
mm_zf_gene_9917	ENSDARG00000024827	ENSMUSG00000047747
mm_zf_gene_9918	ENSDARG00000075046	ENSMUSG00000008482
mm_zf_gene_9919	ENSDARG00000087782	ENSMUSG00000047496
mm_zf_gene_9920	ENSDARG00000077906	ENSMUSG00000025427
mm_zf_gene_9921	ENSDARG00000078817	ENSMUSG00000025427
mm_zf_gene_9922	ENSDARG00000089538	ENSMUSG00000014470
mm_zf_gene_9923	ENSDARG00000017636	ENSMUSG00000044526
mm_zf_gene_9924	ENSDARG00000112483	ENSMUSG00000014074
mm_zf_gene_9925	ENSDARG00000042825	ENSMUSG00000058761
mm_zf_gene_9926	ENSDARG00000056387	ENSMUSG00000000365
mm_zf_gene_9927	ENSDARG00000104069	ENSMUSG00000013878
mm_zf_gene_9928	ENSDARG00000104069	ENSMUSG00000109850
mm_zf_gene_9929	ENSDARG00000057101	ENSMUSG00000021720
mm_zf_gene_9930	ENSDARG00000023958	ENSMUSG00000055850
mm_zf_gene_9931	ENSDARG00000061049	ENSMUSG00000044164
mm_zf_gene_9932	ENSDARG00000032997	ENSMUSG00000020448
mm_zf_gene_9933	ENSDARG00000012040	ENSMUSG00000022280
mm_zf_gene_9934	ENSDARG00000060926	ENSMUSG00000028793
mm_zf_gene_9935	ENSDARG00000010381	ENSMUSG00000026484
mm_zf_gene_9936	ENSDARG00000016664	ENSMUSG00000028309
mm_zf_gene_9937	ENSDARG00000012409	ENSMUSG00000058498
mm_zf_gene_9938	ENSDARG00000090319	ENSMUSG00000055385
mm_zf_gene_9939	ENSDARG00000099465	ENSMUSG00000070327
mm_zf_gene_9940	ENSDARG00000059424	ENSMUSG00000003581
mm_zf_gene_9941	ENSDARG00000087893	ENSMUSG00000045078
mm_zf_gene_9942	ENSDARG00000060944	ENSMUSG00000063760
mm_zf_gene_9943	ENSDARG00000060929	ENSMUSG00000028677
mm_zf_gene_9944	ENSDARG00000075183	ENSMUSG00000028677
mm_zf_gene_9945	ENSDARG00000036965	ENSMUSG00000048911
mm_zf_gene_9946	ENSDARG00000027182	ENSMUSG00000026171
mm_zf_gene_9947	ENSDARG00000074074	ENSMUSG00000111409
mm_zf_gene_9948	ENSDARG00000074074	ENSMUSG00000053128
mm_zf_gene_9949	ENSDARG00000074074	ENSMUSG00000072476
mm_zf_gene_9950	ENSDARG00000060035	ENSMUSG00000029130
mm_zf_gene_9951	ENSDARG00000038300	ENSMUSG00000029474
mm_zf_gene_9952	ENSDARG00000054036	ENSMUSG00000029474
mm_zf_gene_9953	ENSDARG00000062055	ENSMUSG00000035696
mm_zf_gene_9954	ENSDARG00000054201	ENSMUSG00000030816
mm_zf_gene_9955	ENSDARG00000036831	ENSMUSG00000025373
mm_zf_gene_9956	ENSDARG00000068582	ENSMUSG00000034928
mm_zf_gene_9957	ENSDARG00000077955	ENSMUSG00000029634
mm_zf_gene_9958	ENSDARG00000055524	ENSMUSG00000051234
mm_zf_gene_9959	ENSDARG00000055524	ENSMUSG00000048185
mm_zf_gene_9960	ENSDARG00000044949	ENSMUSG00000098374
mm_zf_gene_9961	ENSDARG00000044949	ENSMUSG00000090083
mm_zf_gene_9962	ENSDARG00000015917	ENSMUSG00000020521
mm_zf_gene_9963	ENSDARG00000053019	ENSMUSG00000032850
mm_zf_gene_9964	ENSDARG00000032261	ENSMUSG00000028274
mm_zf_gene_9965	ENSDARG00000012453	ENSMUSG00000071573
mm_zf_gene_9966	ENSDARG00000070553	ENSMUSG00000009535
mm_zf_gene_9967	ENSDARG00000011247	ENSMUSG00000027981
mm_zf_gene_9968	ENSDARG00000012506	ENSMUSG00000041926
mm_zf_gene_9969	ENSDARG00000007813	ENSMUSG00000026269
mm_zf_gene_9970	ENSDARG00000116743	ENSMUSG00000034681
mm_zf_gene_9971	ENSDARG00000026784	ENSMUSG00000022883
mm_zf_gene_9972	ENSDARG00000005645	ENSMUSG00000032128
mm_zf_gene_9973	ENSDARG00000009387	ENSMUSG00000053024
mm_zf_gene_9974	ENSDARG00000058993	ENSMUSG00000024290
mm_zf_gene_9975	ENSDARG00000017500	ENSMUSG00000020580
mm_zf_gene_9976	ENSDARG00000104413	ENSMUSG00000022540
mm_zf_gene_9977	ENSDARG00000019752	ENSMUSG00000071648
mm_zf_gene_9978	ENSDARG00000026926	ENSMUSG00000071648
mm_zf_gene_9979	ENSDARG00000058370	ENSMUSG00000022236
mm_zf_gene_9980	ENSDARG00000015176	ENSMUSG00000035305
mm_zf_gene_9981	ENSDARG00000076227	ENSMUSG00000021464
mm_zf_gene_9982	ENSDARG00000031768	ENSMUSG00000032238
mm_zf_gene_9983	ENSDARG00000033498	ENSMUSG00000036192
mm_zf_gene_9984	ENSDARG00000087197	ENSMUSG00000019893
mm_zf_gene_9985	ENSDARG00000077687	ENSMUSG00000025900
mm_zf_gene_9986	ENSDARG00000044339	ENSMUSG00000060090
mm_zf_gene_9987	ENSDARG00000003938	ENSMUSG00000000751
mm_zf_gene_9988	ENSDARG00000037188	ENSMUSG00000028884
mm_zf_gene_9989	ENSDARG00000002613	ENSMUSG00000012483
mm_zf_gene_9990	ENSDARG00000063021	ENSMUSG00000018449
mm_zf_gene_9991	ENSDARG00000075072	ENSMUSG00000034032
mm_zf_gene_9992	ENSDARG00000038397	ENSMUSG00000033773
mm_zf_gene_9993	ENSDARG00000005251	ENSMUSG00000026005
mm_zf_gene_9994	ENSDARG00000007480	ENSMUSG00000028174
mm_zf_gene_9995	ENSDARG00000094752	ENSMUSG00000028174
mm_zf_gene_9996	ENSDARG00000054420	ENSMUSG00000028174
mm_zf_gene_9997	ENSDARG00000005738	ENSMUSG00000028187
mm_zf_gene_9998	ENSDARG00000043960	ENSMUSG00000038510
mm_zf_gene_9999	ENSDARG00000056617	ENSMUSG00000031174
mm_zf_gene_10000	ENSDARG00000057074	ENSMUSG00000031174
mm_zf_gene_10001	ENSDARG00000076055	ENSMUSG00000057132
mm_zf_gene_10002	ENSDARG00000051754	ENSMUSG00000033282
mm_zf_gene_10003	ENSDARG00000105490	ENSMUSG00000029608
mm_zf_gene_10004	ENSDARG00000056640	ENSMUSG00000053604
mm_zf_gene_10005	ENSDARG00000025581	ENSMUSG00000008682
mm_zf_gene_10006	ENSDARG00000025581	ENSMUSG00000060499
mm_zf_gene_10007	ENSDARG00000025581	ENSMUSG00000058443
mm_zf_gene_10008	ENSDARG00000042905	ENSMUSG00000037805
mm_zf_gene_10009	ENSDARG00000043509	ENSMUSG00000059291
mm_zf_gene_10010	ENSDARG00000006691	ENSMUSG00000038900
mm_zf_gene_10011	ENSDARG00000099380	ENSMUSG00000000740
mm_zf_gene_10012	ENSDARG00000044093	ENSMUSG00000074129
mm_zf_gene_10013	ENSDARG00000044093	ENSMUSG00000089989
mm_zf_gene_10014	ENSDARG00000103433	ENSMUSG00000025794
mm_zf_gene_10015	ENSDARG00000009285	ENSMUSG00000012405
mm_zf_gene_10016	ENSDARG00000057556	ENSMUSG00000062328
mm_zf_gene_10017	ENSDARG00000057556	ENSMUSG00000090451
mm_zf_gene_10018	ENSDARG00000029533	ENSMUSG00000059070
mm_zf_gene_10019	ENSDARG00000025073	ENSMUSG00000045128
mm_zf_gene_10020	ENSDARG00000013307	ENSMUSG00000017404
mm_zf_gene_10021	ENSDARG00000010516	ENSMUSG00000041453
mm_zf_gene_10022	ENSDARG00000070437	ENSMUSG00000028936
mm_zf_gene_10023	ENSDARG00000010244	ENSMUSG00000039221
mm_zf_gene_10024	ENSDARG00000053457	ENSMUSG00000071415
mm_zf_gene_10025	ENSDARG00000006316	ENSMUSG00000058546
mm_zf_gene_10026	ENSDARG00000099104	ENSMUSG00000098274
mm_zf_gene_10027	ENSDARG00000102317	ENSMUSG00000060938
mm_zf_gene_10028	ENSDARG00000015128	ENSMUSG00000063316
mm_zf_gene_10029	ENSDARG00000005791	ENSMUSG00000030432
mm_zf_gene_10030	ENSDARG00000003599	ENSMUSG00000060036
mm_zf_gene_10031	ENSDARG00000035871	ENSMUSG00000058600
mm_zf_gene_10032	ENSDARG00000053365	ENSMUSG00000073702
mm_zf_gene_10033	ENSDARG00000029500	ENSMUSG00000062006
mm_zf_gene_10034	ENSDARG00000018334	ENSMUSG00000062997
mm_zf_gene_10035	ENSDARG00000018334	ENSMUSG00000078193
mm_zf_gene_10036	ENSDARG00000088030	ENSMUSG00000060636
mm_zf_gene_10037	ENSDARG00000100588	ENSMUSG00000057863
mm_zf_gene_10038	ENSDARG00000100588	ENSMUSG00000093922
mm_zf_gene_10039	ENSDARG00000058105	ENSMUSG00000104043
mm_zf_gene_10040	ENSDARG00000006413	ENSMUSG00000057322
mm_zf_gene_10041	ENSDARG00000036316	ENSMUSG00000079641
mm_zf_gene_10042	ENSDARG00000041182	ENSMUSG00000032399
mm_zf_gene_10043	ENSDARG00000020197	ENSMUSG00000058558
mm_zf_gene_10044	ENSDARG00000015862	ENSMUSG00000058558
mm_zf_gene_10045	ENSDARG00000058451	ENSMUSG00000029614
mm_zf_gene_10046	ENSDARG00000007320	ENSMUSG00000043716
mm_zf_gene_10047	ENSDARG00000042864	ENSMUSG00000063888
mm_zf_gene_10048	ENSDARG00000014867	ENSMUSG00000003970
mm_zf_gene_10049	ENSDARG00000037350	ENSMUSG00000047215
mm_zf_gene_10050	ENSDARG00000037350	ENSMUSG00000062456
mm_zf_gene_10051	ENSDARG00000037350	ENSMUSG00000081906
mm_zf_gene_10052	ENSDARG00000051783	ENSMUSG00000067274
mm_zf_gene_10053	ENSDARG00000021864	ENSMUSG00000007892
mm_zf_gene_10054	ENSDARG00000021864	ENSMUSG00000091014
mm_zf_gene_10055	ENSDARG00000101406	ENSMUSG00000025508
mm_zf_gene_10056	ENSDARG00000059323	ENSMUSG00000030062
mm_zf_gene_10057	ENSDARG00000009724	ENSMUSG00000027642
mm_zf_gene_10058	ENSDARG00000011152	ENSMUSG00000023156
mm_zf_gene_10059	ENSDARG00000043404	ENSMUSG00000024446
mm_zf_gene_10060	ENSDARG00000070131	ENSMUSG00000036114
mm_zf_gene_10061	ENSDARG00000027428	ENSMUSG00000024800
mm_zf_gene_10062	ENSDARG00000040350	ENSMUSG00000049950
mm_zf_gene_10063	ENSDARG00000017605	ENSMUSG00000021418
mm_zf_gene_10064	ENSDARG00000038113	ENSMUSG00000027651
mm_zf_gene_10065	ENSDARG00000058089	ENSMUSG00000028106
mm_zf_gene_10066	ENSDARG00000074676	ENSMUSG00000028106
mm_zf_gene_10067	ENSDARG00000053383	ENSMUSG00000075334
mm_zf_gene_10068	ENSDARG00000024006	ENSMUSG00000075334
mm_zf_gene_10069	ENSDARG00000056768	ENSMUSG00000046215
mm_zf_gene_10070	ENSDARG00000034897	ENSMUSG00000052146
mm_zf_gene_10071	ENSDARG00000053058	ENSMUSG00000003429
mm_zf_gene_10072	ENSDARG00000036875	ENSMUSG00000061983
mm_zf_gene_10073	ENSDARG00000036298	ENSMUSG00000090862
mm_zf_gene_10074	ENSDARG00000036629	ENSMUSG00000024608
mm_zf_gene_10075	ENSDARG00000070849	ENSMUSG00000063457
mm_zf_gene_10076	ENSDARG00000045487	ENSMUSG00000037563
mm_zf_gene_10077	ENSDARG00000104011	ENSMUSG00000061787
mm_zf_gene_10078	ENSDARG00000100392	ENSMUSG00000113061
mm_zf_gene_10079	ENSDARG00000100392	ENSMUSG00000069117
mm_zf_gene_10080	ENSDARG00000100392	ENSMUSG00000008668
mm_zf_gene_10081	ENSDARG00000030602	ENSMUSG00000040952
mm_zf_gene_10082	ENSDARG00000091124	ENSMUSG00000051518
mm_zf_gene_10083	ENSDARG00000077291	ENSMUSG00000044533
mm_zf_gene_10084	ENSDARG00000025850	ENSMUSG00000039001
mm_zf_gene_10085	ENSDARG00000021838	ENSMUSG00000049517
mm_zf_gene_10086	ENSDARG00000039347	ENSMUSG00000025290
mm_zf_gene_10087	ENSDARG00000041811	ENSMUSG00000009927
mm_zf_gene_10088	ENSDARG00000037071	ENSMUSG00000025362
mm_zf_gene_10089	ENSDARG00000030408	ENSMUSG00000025362
mm_zf_gene_10090	ENSDARG00000023298	ENSMUSG00000090733
mm_zf_gene_10091	ENSDARG00000023298	ENSMUSG00000050621
mm_zf_gene_10092	ENSDARG00000035860	ENSMUSG00000067288
mm_zf_gene_10093	ENSDARG00000041232	ENSMUSG00000034892
mm_zf_gene_10094	ENSDARG00000103007	ENSMUSG00000023147
mm_zf_gene_10095	ENSDARG00000103007	ENSMUSG00000030744
mm_zf_gene_10096	ENSDARG00000035692	ENSMUSG00000028081
mm_zf_gene_10097	ENSDARG00000014690	ENSMUSG00000031320
mm_zf_gene_10098	ENSDARG00000014690	ENSMUSG00000098559
mm_zf_gene_10099	ENSDARG00000043453	ENSMUSG00000012848
mm_zf_gene_10100	ENSDARG00000019778	ENSMUSG00000028495
mm_zf_gene_10101	ENSDARG00000033437	ENSMUSG00000003644
mm_zf_gene_10102	ENSDARG00000035556	ENSMUSG00000031309
mm_zf_gene_10103	ENSDARG00000057927	ENSMUSG00000031309
mm_zf_gene_10104	ENSDARG00000044436	ENSMUSG00000024952
mm_zf_gene_10105	ENSDARG00000060551	ENSMUSG00000021180
mm_zf_gene_10106	ENSDARG00000037574	ENSMUSG00000025665
mm_zf_gene_10107	ENSDARG00000104103	ENSMUSG00000089872
mm_zf_gene_10108	ENSDARG00000079024	ENSMUSG00000019235
mm_zf_gene_10109	ENSDARG00000042566	ENSMUSG00000061477
mm_zf_gene_10110	ENSDARG00000055996	ENSMUSG00000047675
mm_zf_gene_10111	ENSDARG00000057368	ENSMUSG00000047675
mm_zf_gene_10112	ENSDARG00000011405	ENSMUSG00000006333
mm_zf_gene_10113	ENSDARG00000019181	ENSMUSG00000032518
mm_zf_gene_10114	ENSDARG00000098726	ENSMUSG00000025583
mm_zf_gene_10115	ENSDARG00000060192	ENSMUSG00000041199
mm_zf_gene_10116	ENSDARG00000060992	ENSMUSG00000027324
mm_zf_gene_10117	ENSDARG00000012674	ENSMUSG00000032044
mm_zf_gene_10118	ENSDARG00000052011	ENSMUSG00000031880
mm_zf_gene_10119	ENSDARG00000104149	ENSMUSG00000070934
mm_zf_gene_10120	ENSDARG00000104149	ENSMUSG00000041658
mm_zf_gene_10121	ENSDARG00000069829	ENSMUSG00000028646
mm_zf_gene_10122	ENSDARG00000069829	ENSMUSG00000028278
mm_zf_gene_10123	ENSDARG00000099049	ENSMUSG00000028646
mm_zf_gene_10124	ENSDARG00000099049	ENSMUSG00000028278
mm_zf_gene_10125	ENSDARG00000006279	ENSMUSG00000028646
mm_zf_gene_10126	ENSDARG00000006279	ENSMUSG00000028278
mm_zf_gene_10127	ENSDARG00000006553	ENSMUSG00000038387
mm_zf_gene_10128	ENSDARG00000036252	ENSMUSG00000055723
mm_zf_gene_10129	ENSDARG00000013763	ENSMUSG00000027422
mm_zf_gene_10130	ENSDARG00000041703	ENSMUSG00000027422
mm_zf_gene_10131	ENSDARG00000063701	ENSMUSG00000039087
mm_zf_gene_10132	ENSDARG00000042652	ENSMUSG00000039087
mm_zf_gene_10133	ENSDARG00000039534	ENSMUSG00000028012
mm_zf_gene_10134	ENSDARG00000014017	ENSMUSG00000030978
mm_zf_gene_10135	ENSDARG00000033367	ENSMUSG00000022292
mm_zf_gene_10136	ENSDARG00000102997	ENSMUSG00000022682
mm_zf_gene_10137	ENSDARG00000089033	ENSMUSG00000004896
mm_zf_gene_10138	ENSDARG00000103337	ENSMUSG00000058392
mm_zf_gene_10139	ENSDARG00000103337	ENSMUSG00000061032
mm_zf_gene_10140	ENSDARG00000022410	ENSMUSG00000035049
mm_zf_gene_10141	ENSDARG00000013478	ENSMUSG00000001305
mm_zf_gene_10142	ENSDARG00000032516	ENSMUSG00000023971
mm_zf_gene_10143	ENSDARG00000098934	ENSMUSG00000018040
mm_zf_gene_10144	ENSDARG00000041991	ENSMUSG00000041506
mm_zf_gene_10145	ENSDARG00000003941	ENSMUSG00000061024
mm_zf_gene_10146	ENSDARG00000077698	ENSMUSG00000039096
mm_zf_gene_10147	ENSDARG00000004952	ENSMUSG00000020641
mm_zf_gene_10148	ENSDARG00000040439	ENSMUSG00000032215
mm_zf_gene_10149	ENSDARG00000043470	ENSMUSG00000073471
mm_zf_gene_10150	ENSDARG00000043470	ENSMUSG00000023806
mm_zf_gene_10151	ENSDARG00000017355	ENSMUSG00000023966
mm_zf_gene_10152	ENSDARG00000104340	ENSMUSG00000028871
mm_zf_gene_10153	ENSDARG00000079570	ENSMUSG00000051920
mm_zf_gene_10154	ENSDARG00000070081	ENSMUSG00000019880
mm_zf_gene_10155	ENSDARG00000038593	ENSMUSG00000032852
mm_zf_gene_10156	ENSDARG00000062558	ENSMUSG00000050079
mm_zf_gene_10157	ENSDARG00000042534	ENSMUSG00000029422
mm_zf_gene_10158	ENSDARG00000102885	ENSMUSG00000026727
mm_zf_gene_10159	ENSDARG00000002215	ENSMUSG00000000339
mm_zf_gene_10160	ENSDARG00000101047	ENSMUSG00000001783
mm_zf_gene_10161	ENSDARG00000035074	ENSMUSG00000038685
mm_zf_gene_10162	ENSDARG00000008947	ENSMUSG00000027304
mm_zf_gene_10163	ENSDARG00000053558	ENSMUSG00000037846
mm_zf_gene_10164	ENSDARG00000052903	ENSMUSG00000034930
mm_zf_gene_10165	ENSDARG00000021143	ENSMUSG00000021087
mm_zf_gene_10166	ENSDARG00000057027	ENSMUSG00000030401
mm_zf_gene_10167	ENSDARG00000091348	ENSMUSG00000024758
mm_zf_gene_10168	ENSDARG00000044601	ENSMUSG00000020458
mm_zf_gene_10169	ENSDARG00000031366	ENSMUSG00000019864
mm_zf_gene_10170	ENSDARG00000090035	ENSMUSG00000043811
mm_zf_gene_10171	ENSDARG00000098528	ENSMUSG00000045287
mm_zf_gene_10172	ENSDARG00000052012	ENSMUSG00000050896
mm_zf_gene_10173	ENSDARG00000037495	ENSMUSG00000050896
mm_zf_gene_10174	ENSDARG00000004131	ENSMUSG00000023066
mm_zf_gene_10175	ENSDARG00000078685	ENSMUSG00000020375
mm_zf_gene_10176	ENSDARG00000062019	ENSMUSG00000020070
mm_zf_gene_10177	ENSDARG00000029692	ENSMUSG00000029291
mm_zf_gene_10178	ENSDARG00000002546	ENSMUSG00000006575
mm_zf_gene_10179	ENSDARG00000009961	ENSMUSG00000040570
mm_zf_gene_10180	ENSDARG00000087646	ENSMUSG00000022952
mm_zf_gene_10181	ENSDARG00000003680	ENSMUSG00000006586
mm_zf_gene_10182	ENSDARG00000040261	ENSMUSG00000039153
mm_zf_gene_10183	ENSDARG00000052826	ENSMUSG00000070691
mm_zf_gene_10184	ENSDARG00000078125	ENSMUSG00000041263
mm_zf_gene_10185	ENSDARG00000078125	ENSMUSG00000105204
mm_zf_gene_10186	ENSDARG00000095288	ENSMUSG00000041263
mm_zf_gene_10187	ENSDARG00000095288	ENSMUSG00000105204
mm_zf_gene_10188	ENSDARG00000002591	ENSMUSG00000030079
mm_zf_gene_10189	ENSDARG00000055639	ENSMUSG00000003868
mm_zf_gene_10190	ENSDARG00000068256	ENSMUSG00000031568
mm_zf_gene_10191	ENSDARG00000015930	ENSMUSG00000019782
mm_zf_gene_10192	ENSDARG00000055426	ENSMUSG00000041079
mm_zf_gene_10193	ENSDARG00000090071	ENSMUSG00000034009
mm_zf_gene_10194	ENSDARG00000032820	ENSMUSG00000053368
mm_zf_gene_10195	ENSDARG00000019660	ENSMUSG00000053368
mm_zf_gene_10196	ENSDARG00000057410	ENSMUSG00000060735
mm_zf_gene_10197	ENSDARG00000057737	ENSMUSG00000015846
mm_zf_gene_10198	ENSDARG00000035127	ENSMUSG00000015846
mm_zf_gene_10199	ENSDARG00000078954	ENSMUSG00000039656
mm_zf_gene_10200	ENSDARG00000002006	ENSMUSG00000039656
mm_zf_gene_10201	ENSDARG00000004697	ENSMUSG00000015843
mm_zf_gene_10202	ENSDARG00000037773	ENSMUSG00000072872
mm_zf_gene_10203	ENSDARG00000053459	ENSMUSG00000072872
mm_zf_gene_10204	ENSDARG00000007231	ENSMUSG00000032547
