mm_zf_xp_gene	mm_gene	zf_gene	xp_gene
mm_zf_xp_13005	ENSMUSG00000005881	ENSDARG00000038074	ergic3
mm_zf_xp_13006	ENSMUSG00000074643	ENSDARG00000075536	cpne1
mm_zf_xp_13007	ENSMUSG00000089824	ENSDARG00000100636	rbm12
mm_zf_xp_13008	ENSMUSG00000027618	ENSDARG00000062237	nfs1
mm_zf_xp_13009	ENSMUSG00000067847	ENSDARG00000038076	romo1
mm_zf_xp_13010	ENSMUSG00000027620	ENSDARG00000011613	NA
mm_zf_xp_13011	ENSMUSG00000038116	ENSDARG00000038737	NA
mm_zf_xp_13012	ENSMUSG00000038116	ENSDARG00000002750	NA
mm_zf_xp_13013	ENSMUSG00000038085	NA	Xetrov90000677m
mm_zf_xp_13014	ENSMUSG00000038085	NA	LOC100486705
mm_zf_xp_13015	ENSMUSG00000027624	NA	Xetrov90025381m
mm_zf_xp_13016	ENSMUSG00000027628	ENSDARG00000018658	NA
mm_zf_xp_13017	ENSMUSG00000061689	ENSDARG00000060849	dlgap4
mm_zf_xp_13018	ENSMUSG00000061689	ENSDARG00000012823	dlgap4
mm_zf_xp_13019	ENSMUSG00000067818	ENSDARG00000038123	NA
mm_zf_xp_13020	ENSMUSG00000067818	ENSDARG00000008030	NA
mm_zf_xp_13021	ENSMUSG00000067818	ENSDARG00000099766	NA
mm_zf_xp_13022	ENSMUSG00000062175	NA	tgif2
mm_zf_xp_13023	ENSMUSG00000027636	ENSDARG00000020788	sla2
mm_zf_xp_13024	ENSMUSG00000027634	ENSDARG00000013087	ndrg4
mm_zf_xp_13025	ENSMUSG00000027634	ENSDARG00000010052	ndrg4
mm_zf_xp_13026	ENSMUSG00000027635	ENSDARG00000089922	LOC100487901-like
mm_zf_xp_13027	ENSMUSG00000055485	ENSDARG00000063075	soga1-like
mm_zf_xp_13028	ENSMUSG00000074628	NA	tldc2
mm_zf_xp_13029	ENSMUSG00000027639	ENSDARG00000071288	LOC101730829
mm_zf_xp_13030	ENSMUSG00000027639	ENSDARG00000071288	LOC100498574
mm_zf_xp_13031	ENSMUSG00000027641	ENSDARG00000008141	rbl1
mm_zf_xp_13032	ENSMUSG00000027642	ENSDARG00000009724	rpn2
mm_zf_xp_13033	ENSMUSG00000027643	ENSDARG00000069481	LOC100492713
mm_zf_xp_13034	ENSMUSG00000063019	ENSDARG00000059853	manbal-like
mm_zf_xp_13035	ENSMUSG00000027646	ENSDARG00000008107	NA
mm_zf_xp_13036	ENSMUSG00000067787	ENSDARG00000052073	NA
mm_zf_xp_13037	ENSMUSG00000027649	ENSDARG00000011958	ctnnbl1
mm_zf_xp_13038	ENSMUSG00000037843	ENSDARG00000098289	NA
mm_zf_xp_13039	ENSMUSG00000027650	ENSDARG00000004114	tti1
mm_zf_xp_13040	ENSMUSG00000027651	ENSDARG00000038113	NA
mm_zf_xp_13041	ENSMUSG00000037820	ENSDARG00000074094	NA
mm_zf_xp_13042	ENSMUSG00000037820	ENSDARG00000070157	NA
mm_zf_xp_13043	ENSMUSG00000027652	ENSDARG00000088899	ralgapb-like
mm_zf_xp_13044	ENSMUSG00000074625	NA	arhgap40-like
mm_zf_xp_13045	ENSMUSG00000037771	ENSDARG00000059775	slc32a1
mm_zf_xp_13046	ENSMUSG00000037761	ENSDARG00000098235	NA
mm_zf_xp_13047	ENSMUSG00000037754	ENSDARG00000079860	ppp1r16b
mm_zf_xp_13048	ENSMUSG00000027654	ENSDARG00000077883	NA
mm_zf_xp_13049	ENSMUSG00000027655	ENSDARG00000063419	dhx35
mm_zf_xp_13050	ENSMUSG00000074622	ENSDARG00000017121	mafb
mm_zf_xp_13051	ENSMUSG00000070544	ENSDARG00000070545	top1mt-like
mm_zf_xp_13052	ENSMUSG00000070544	ENSDARG00000086775	top1mt-like
mm_zf_xp_13053	ENSMUSG00000016933	ENSDARG00000038442	NA
mm_zf_xp_13054	ENSMUSG00000035877	ENSDARG00000019774	zhx3
mm_zf_xp_13055	ENSMUSG00000027412	ENSDARG00000015563	lpin3-like
mm_zf_xp_13056	ENSMUSG00000050700	ENSDARG00000078052	emilin3
mm_zf_xp_13057	ENSMUSG00000057133	ENSDARG00000017244	chd6-like
mm_zf_xp_13058	ENSMUSG00000053141	NA	ptprt-like
mm_zf_xp_13059	ENSMUSG00000016921	ENSDARG00000013729	srsf6
mm_zf_xp_13060	ENSMUSG00000016921	ENSDARG00000016783	srsf6
mm_zf_xp_13061	ENSMUSG00000035576	ENSDARG00000014828	NA
mm_zf_xp_13062	ENSMUSG00000035576	ENSDARG00000014828	l3mbtl1-like
mm_zf_xp_13063	ENSMUSG00000017868	ENSDARG00000063370	sgk2
mm_zf_xp_13064	ENSMUSG00000017858	ENSDARG00000045025	ift52
mm_zf_xp_13065	ENSMUSG00000017861	ENSDARG00000032264	mybl2
mm_zf_xp_13066	ENSMUSG00000070708	ENSDARG00000000887	NA
mm_zf_xp_13067	ENSMUSG00000074607	ENSDARG00000100055	tox2
mm_zf_xp_13068	ENSMUSG00000017817	ENSDARG00000028625	jph2
mm_zf_xp_13069	ENSMUSG00000035399	ENSDARG00000024669	NA
mm_zf_xp_13070	ENSMUSG00000017943	ENSDARG00000028628	gdap1l1
mm_zf_xp_13071	ENSMUSG00000048486	ENSDARG00000034568	fitm2
mm_zf_xp_13072	ENSMUSG00000078949	ENSDARG00000030650	r3hdml
mm_zf_xp_13073	ENSMUSG00000017950	ENSDARG00000021494	hnf4a-like
mm_zf_xp_13074	ENSMUSG00000017950	ENSDARG00000104742	hnf4a-like
mm_zf_xp_13075	ENSMUSG00000017679	ENSDARG00000070644	ttpal
mm_zf_xp_13076	ENSMUSG00000017707	NA	serinc3
mm_zf_xp_13077	ENSMUSG00000035268	ENSDARG00000086471	pkig-like
mm_zf_xp_13078	ENSMUSG00000017697	ENSDARG00000003113	Xetrov90025302m
mm_zf_xp_13079	ENSMUSG00000035238	ENSDARG00000077371	NA
mm_zf_xp_13080	ENSMUSG00000035226	ENSDARG00000059523	rims4-like
mm_zf_xp_13081	ENSMUSG00000018326	ENSDARG00000075758	ywhab
mm_zf_xp_13082	ENSMUSG00000018326	ENSDARG00000013078	ywhab
mm_zf_xp_13083	ENSMUSG00000054582	ENSDARG00000002597	NA
mm_zf_xp_13084	ENSMUSG00000018209	NA	stk4
mm_zf_xp_13085	ENSMUSG00000040164	ENSDARG00000026084	kcns1
mm_zf_xp_13086	ENSMUSG00000040154	NA	LOC100489901
mm_zf_xp_13087	ENSMUSG00000040154	NA	Xetrov90021870m
mm_zf_xp_13088	ENSMUSG00000040154	NA	LOC100489729
mm_zf_xp_13089	ENSMUSG00000040154	NA	LOC100485866
mm_zf_xp_13090	ENSMUSG00000016995	ENSDARG00000015947	LOC100492840-like
mm_zf_xp_13091	ENSMUSG00000017007	ENSDARG00000074148	NA
mm_zf_xp_13092	ENSMUSG00000017009	ENSDARG00000059906	NA
mm_zf_xp_13093	ENSMUSG00000090996	ENSDARG00000017606	NA
mm_zf_xp_13094	ENSMUSG00000017734	ENSDARG00000074904	LOC100490428-like
mm_zf_xp_13095	ENSMUSG00000017721	ENSDARG00000075842	NA
mm_zf_xp_13096	ENSMUSG00000017723	NA	LOC100494547
mm_zf_xp_13097	ENSMUSG00000017723	NA	Xetrov90021871m
mm_zf_xp_13098	ENSMUSG00000074596	NA	Xetrov90012753m
mm_zf_xp_13099	ENSMUSG00000017733	ENSDARG00000102332	NA
mm_zf_xp_13100	ENSMUSG00000017733	ENSDARG00000101364	NA
mm_zf_xp_13101	ENSMUSG00000017733	ENSDARG00000012467	NA
mm_zf_xp_13102	ENSMUSG00000017733	ENSDARG00000090185	NA
mm_zf_xp_13103	ENSMUSG00000017733	ENSDARG00000089361	NA
mm_zf_xp_13104	ENSMUSG00000017733	ENSDARG00000102332	LOC100485348
mm_zf_xp_13105	ENSMUSG00000017733	ENSDARG00000101364	LOC100485348
mm_zf_xp_13106	ENSMUSG00000017733	ENSDARG00000012467	LOC100485348
mm_zf_xp_13107	ENSMUSG00000017733	ENSDARG00000090185	LOC100485348
mm_zf_xp_13108	ENSMUSG00000017733	ENSDARG00000089361	LOC100485348
mm_zf_xp_13109	ENSMUSG00000070533	ENSDARG00000102332	LOC101732678
mm_zf_xp_13110	ENSMUSG00000070533	ENSDARG00000012467	LOC101732678
mm_zf_xp_13111	ENSMUSG00000070533	ENSDARG00000101364	LOC101732678
mm_zf_xp_13112	ENSMUSG00000017310	ENSDARG00000034076	NA
mm_zf_xp_13113	ENSMUSG00000017310	ENSDARG00000102332	NA
mm_zf_xp_13114	ENSMUSG00000017310	ENSDARG00000101364	NA
mm_zf_xp_13115	ENSMUSG00000017310	ENSDARG00000012467	NA
mm_zf_xp_13116	ENSMUSG00000017310	ENSDARG00000090185	NA
mm_zf_xp_13117	ENSMUSG00000017310	ENSDARG00000089361	NA
mm_zf_xp_13118	ENSMUSG00000017299	NA	dnttip1
mm_zf_xp_13119	ENSMUSG00000001403	NA	ube2c
mm_zf_xp_13120	ENSMUSG00000017300	ENSDARG00000070835	NA
mm_zf_xp_13121	ENSMUSG00000017300	ENSDARG00000095002	NA
mm_zf_xp_13122	ENSMUSG00000050373	ENSDARG00000062770	snx21
mm_zf_xp_13123	ENSMUSG00000017307	ENSDARG00000014138	acot8
mm_zf_xp_13124	ENSMUSG00000045822	NA	zswim3
mm_zf_xp_13125	ENSMUSG00000017764	NA	zswim1
mm_zf_xp_13126	ENSMUSG00000039873	ENSDARG00000062446	LOC100494896
mm_zf_xp_13127	ENSMUSG00000017760	ENSDARG00000098114	ctsa
mm_zf_xp_13128	ENSMUSG00000017754	ENSDARG00000104495	pltp
mm_zf_xp_13129	ENSMUSG00000039849	ENSDARG00000099084	pcif1
mm_zf_xp_13130	ENSMUSG00000039834	NA	znf335-like
mm_zf_xp_13131	ENSMUSG00000017737	ENSDARG00000042816	NA
mm_zf_xp_13132	ENSMUSG00000017740	NA	slc12a5
mm_zf_xp_13133	ENSMUSG00000039804	ENSDARG00000016345	ncoa5
mm_zf_xp_13134	ENSMUSG00000017652	NA	cd40
mm_zf_xp_13135	ENSMUSG00000053166	ENSDARG00000098824	cdh22
mm_zf_xp_13136	ENSMUSG00000017664	ENSDARG00000037517	slc35c2
mm_zf_xp_13137	ENSMUSG00000017664	ENSDARG00000037517	LOC101731373
mm_zf_xp_13138	ENSMUSG00000017670	ENSDARG00000063527	elmo1
mm_zf_xp_13139	ENSMUSG00000027670	ENSDARG00000022139	LOC100493211
mm_zf_xp_13140	ENSMUSG00000018459	ENSDARG00000069478	Xetrov90024872m
mm_zf_xp_13141	ENSMUSG00000039725	ENSDARG00000112667	tp53rk
mm_zf_xp_13142	ENSMUSG00000042854	ENSDARG00000112667	tp53rk
mm_zf_xp_13143	ENSMUSG00000027661	ENSDARG00000090820	slc2a10
mm_zf_xp_13144	ENSMUSG00000017897	ENSDARG00000018984	eya2
mm_zf_xp_13145	ENSMUSG00000039671	ENSDARG00000007601	NA
mm_zf_xp_13146	ENSMUSG00000039671	ENSDARG00000011932	NA
mm_zf_xp_13147	ENSMUSG00000027678	ENSDARG00000077404	ncoa3
mm_zf_xp_13148	ENSMUSG00000006800	ENSDARG00000013838	sulf2
mm_zf_xp_13149	ENSMUSG00000039621	ENSDARG00000075793	prex1
mm_zf_xp_13150	ENSMUSG00000074582	ENSDARG00000074702	arfgef2-like
mm_zf_xp_13151	ENSMUSG00000002718	ENSDARG00000006963	cse1l
mm_zf_xp_13152	ENSMUSG00000039536	ENSDARG00000044182	NA
mm_zf_xp_13153	ENSMUSG00000017999	ENSDARG00000091831	ddx27
mm_zf_xp_13154	ENSMUSG00000039501	ENSDARG00000100280	znfx1
mm_zf_xp_13155	ENSMUSG00000050556	ENSDARG00000060095	kcnb1
mm_zf_xp_13156	ENSMUSG00000050556	ENSDARG00000060095	Xetrov90025314m
mm_zf_xp_13157	ENSMUSG00000017969	ENSDARG00000060094	NA
mm_zf_xp_13158	ENSMUSG00000017929	ENSDARG00000010301	b4galt6
mm_zf_xp_13159	ENSMUSG00000039463	ENSDARG00000020699	slc9a8
mm_zf_xp_13160	ENSMUSG00000047030	ENSDARG00000063250	spata2
mm_zf_xp_13161	ENSMUSG00000006418	ENSDARG00000009886	rnf114
mm_zf_xp_13162	ENSMUSG00000042821	ENSDARG00000046019	snai1
mm_zf_xp_13163	ENSMUSG00000042821	ENSDARG00000056995	snai1
mm_zf_xp_13164	ENSMUSG00000056501	ENSDARG00000042725	cebpb
mm_zf_xp_13165	ENSMUSG00000027540	ENSDARG00000007923	ptpn1
mm_zf_xp_13166	ENSMUSG00000074577	NA	Xetrov90025263m
mm_zf_xp_13167	ENSMUSG00000044641	ENSDARG00000003865	pard6b
mm_zf_xp_13168	ENSMUSG00000051149	ENSDARG00000062002	adnp
mm_zf_xp_13169	ENSMUSG00000051149	ENSDARG00000074293	adnp
mm_zf_xp_13170	ENSMUSG00000093752	ENSDARG00000057011	NA
mm_zf_xp_13171	ENSMUSG00000078919	ENSDARG00000057011	NA
mm_zf_xp_13172	ENSMUSG00000074576	ENSDARG00000008239	Xetrov90013806m
mm_zf_xp_13173	ENSMUSG00000074576	ENSDARG00000008239	LOC101732436
mm_zf_xp_13174	ENSMUSG00000074575	ENSDARG00000099038	kcng2
mm_zf_xp_13175	ENSMUSG00000074575	ENSDARG00000099038	kcng1
mm_zf_xp_13176	ENSMUSG00000027544	ENSDARG00000100927	nfatc2
mm_zf_xp_13177	ENSMUSG00000027546	NA	atp9a
mm_zf_xp_13178	ENSMUSG00000027547	ENSDARG00000044485	NA
mm_zf_xp_13179	ENSMUSG00000027551	ENSDARG00000061147	zfp64
mm_zf_xp_13180	ENSMUSG00000047907	ENSDARG00000079201	tshz2
mm_zf_xp_13181	ENSMUSG00000052056	ENSDARG00000088123	znf217
mm_zf_xp_13182	ENSMUSG00000013523	NA	bcas1
mm_zf_xp_13183	ENSMUSG00000038567	ENSDARG00000103277	Xetrov90025243m
mm_zf_xp_13184	ENSMUSG00000038567	ENSDARG00000103277	LOC100496967
mm_zf_xp_13185	ENSMUSG00000052033	ENSDARG00000061228	pfdn4
mm_zf_xp_13186	ENSMUSG00000027560	NA	dok5
mm_zf_xp_13187	ENSMUSG00000067578	ENSDARG00000061240	NA
mm_zf_xp_13188	ENSMUSG00000038537	ENSDARG00000021369	mc3r
mm_zf_xp_13189	ENSMUSG00000027495	ENSDARG00000052638	fam210b
mm_zf_xp_13190	ENSMUSG00000027496	ENSDARG00000012485	NA
mm_zf_xp_13191	ENSMUSG00000027498	ENSDARG00000044820	cstf1
mm_zf_xp_13192	ENSMUSG00000074570	ENSDARG00000006775	NA
mm_zf_xp_13193	ENSMUSG00000074569	ENSDARG00000040608	gcnt7
mm_zf_xp_13194	ENSMUSG00000028640	ENSDARG00000040606	NA
mm_zf_xp_13195	ENSMUSG00000008999	ENSDARG00000018260	bmp7.2
mm_zf_xp_13196	ENSMUSG00000008999	ENSDARG00000063230	bmp7.2
mm_zf_xp_13197	ENSMUSG00000005883	ENSDARG00000013837	spo11
mm_zf_xp_13198	ENSMUSG00000027509	ENSDARG00000007196	Xetrov90027725m
mm_zf_xp_13199	ENSMUSG00000027510	ENSDARG00000058818	rbm38
mm_zf_xp_13200	ENSMUSG00000027513	ENSDARG00000013522	pck1
mm_zf_xp_13201	ENSMUSG00000027514	NA	zbp1
mm_zf_xp_13202	ENSMUSG00000038400	NA	pmepa1
mm_zf_xp_13203	ENSMUSG00000027517	NA	ankrd60-like
mm_zf_xp_13204	ENSMUSG00000027519	ENSDARG00000015807	NA
mm_zf_xp_13205	ENSMUSG00000054455	ENSDARG00000070435	MGC76271
mm_zf_xp_13206	ENSMUSG00000027522	ENSDARG00000003307	LOC100493473-like
mm_zf_xp_13207	ENSMUSG00000027522	ENSDARG00000003307	NA
mm_zf_xp_13208	ENSMUSG00000039263	ENSDARG00000012871	NA
mm_zf_xp_13209	ENSMUSG00000027523	ENSDARG00000043094	Xetrov90029820m
mm_zf_xp_13210	ENSMUSG00000016253	ENSDARG00000021097	nelfcd
mm_zf_xp_13211	ENSMUSG00000016256	ENSDARG00000099376	NA
mm_zf_xp_13212	ENSMUSG00000016255	ENSDARG00000053066	NA
mm_zf_xp_13213	ENSMUSG00000016257	ENSDARG00000009505	NA
mm_zf_xp_13214	ENSMUSG00000050600	ENSDARG00000074906	LOC101734036
mm_zf_xp_13215	ENSMUSG00000027524	ENSDARG00000086669	NA
mm_zf_xp_13216	ENSMUSG00000027525	ENSDARG00000058243	phactr3
mm_zf_xp_13217	ENSMUSG00000027525	ENSDARG00000019304	phactr3
mm_zf_xp_13218	ENSMUSG00000060445	ENSDARG00000088950	Xetrov90024613m
mm_zf_xp_13219	ENSMUSG00000070476	ENSDARG00000088505	NA
mm_zf_xp_13220	ENSMUSG00000070476	ENSDARG00000091799	NA
mm_zf_xp_13221	ENSMUSG00000049999	ENSDARG00000076248	LOC100486900
mm_zf_xp_13222	ENSMUSG00000049999	ENSDARG00000076248	ppp1r3d
mm_zf_xp_13223	ENSMUSG00000049999	ENSDARG00000077513	LOC100486900
mm_zf_xp_13224	ENSMUSG00000049999	ENSDARG00000077513	ppp1r3d
mm_zf_xp_13225	ENSMUSG00000039155	ENSDARG00000078404	LOC100492690
mm_zf_xp_13226	ENSMUSG00000039155	ENSDARG00000078404	cdh26
mm_zf_xp_13227	ENSMUSG00000000305	ENSDARG00000015002	cdh4
mm_zf_xp_13228	ENSMUSG00000039117	ENSDARG00000068192	taf4
mm_zf_xp_13229	ENSMUSG00000039108	ENSDARG00000025386	lsm14b
mm_zf_xp_13230	ENSMUSG00000039086	NA	ss18l1
mm_zf_xp_13231	ENSMUSG00000039069	ENSDARG00000063574	mtg2
mm_zf_xp_13232	ENSMUSG00000039059	NA	Xetrov90016734m
mm_zf_xp_13233	ENSMUSG00000039059	NA	LOC101734863
mm_zf_xp_13234	ENSMUSG00000039059	NA	LOC101734281
mm_zf_xp_13235	ENSMUSG00000039059	NA	LOC101734624
mm_zf_xp_13236	ENSMUSG00000039059	NA	LOC101734734
mm_zf_xp_13237	ENSMUSG00000039059	NA	LOC101735223
mm_zf_xp_13238	ENSMUSG00000039059	NA	LOC101734679
mm_zf_xp_13239	ENSMUSG00000039059	NA	Xetrov90016721m
mm_zf_xp_13240	ENSMUSG00000039059	NA	hrh3
mm_zf_xp_13241	ENSMUSG00000039059	NA	LOC101734553
mm_zf_xp_13242	ENSMUSG00000039059	NA	Xetrov90016733m
mm_zf_xp_13243	ENSMUSG00000039059	NA	LOC101734424
mm_zf_xp_13244	ENSMUSG00000039059	NA	LOC101734932
mm_zf_xp_13245	ENSMUSG00000039059	NA	Xetrov90016737m
mm_zf_xp_13246	ENSMUSG00000039059	NA	LOC101735047
mm_zf_xp_13247	ENSMUSG00000039059	NA	Xetrov90016726m
mm_zf_xp_13248	ENSMUSG00000039059	NA	Xetrov90016736m
mm_zf_xp_13249	ENSMUSG00000039059	NA	Xetrov90016738m
mm_zf_xp_13250	ENSMUSG00000039059	NA	LOC100488589
mm_zf_xp_13251	ENSMUSG00000039059	NA	Xetrov90016732m
mm_zf_xp_13252	ENSMUSG00000039059	NA	LOC101734346
mm_zf_xp_13253	ENSMUSG00000039059	NA	LOC101734803
mm_zf_xp_13254	ENSMUSG00000039059	NA	Xetrov90016741m
mm_zf_xp_13255	ENSMUSG00000039059	NA	LOC100498398
mm_zf_xp_13256	ENSMUSG00000039059	NA	Xetrov90016730m
mm_zf_xp_13257	ENSMUSG00000039050	ENSDARG00000013830	NA
mm_zf_xp_13258	ENSMUSG00000039050	ENSDARG00000053804	NA
mm_zf_xp_13259	ENSMUSG00000039041	ENSDARG00000058560	adrm1
mm_zf_xp_13260	ENSMUSG00000042165	ENSDARG00000058560	adrm1
mm_zf_xp_13261	ENSMUSG00000015647	ENSDARG00000058543	Xetrov90024626m
mm_zf_xp_13262	ENSMUSG00000039001	ENSDARG00000025850	rps21
mm_zf_xp_13263	ENSMUSG00000038990	ENSDARG00000017154	NA
mm_zf_xp_13264	ENSMUSG00000038990	ENSDARG00000076964	NA
mm_zf_xp_13265	ENSMUSG00000038980	ENSDARG00000087032	rbbp8nl
mm_zf_xp_13266	ENSMUSG00000015627	ENSDARG00000017821	NA
mm_zf_xp_13267	ENSMUSG00000038963	ENSDARG00000075948	slco4a1
mm_zf_xp_13268	ENSMUSG00000027568	ENSDARG00000077577	LOC100497703
mm_zf_xp_13269	ENSMUSG00000027568	ENSDARG00000077577	LOC101735297
mm_zf_xp_13270	ENSMUSG00000027569	ENSDARG00000028894	NA
mm_zf_xp_13271	ENSMUSG00000049401	ENSDARG00000024815	Xetrov90023034m
mm_zf_xp_13272	ENSMUSG00000049401	ENSDARG00000099409	Xetrov90023034m
mm_zf_xp_13273	ENSMUSG00000049401	ENSDARG00000037837	Xetrov90023034m
mm_zf_xp_13274	ENSMUSG00000038932	NA	tcfl5
mm_zf_xp_13275	ENSMUSG00000038914	ENSDARG00000057940	LOC100497807
mm_zf_xp_13276	ENSMUSG00000038914	ENSDARG00000057940	dido1
mm_zf_xp_13277	ENSMUSG00000027573	ENSDARG00000022768	NA
mm_zf_xp_13278	ENSMUSG00000027573	ENSDARG00000037589	NA
mm_zf_xp_13279	ENSMUSG00000023393	ENSDARG00000011049	NA
mm_zf_xp_13280	ENSMUSG00000023393	ENSDARG00000042954	NA
mm_zf_xp_13281	ENSMUSG00000045493	ENSDARG00000096756	NA
mm_zf_xp_13282	ENSMUSG00000038848	ENSDARG00000016447	ythdf1
mm_zf_xp_13283	ENSMUSG00000038840	ENSDARG00000058082	birc7
mm_zf_xp_13284	ENSMUSG00000027574	ENSDARG00000062699	NA
mm_zf_xp_13285	ENSMUSG00000027575	ENSDARG00000101616	arfgap1
mm_zf_xp_13286	ENSMUSG00000027577	ENSDARG00000070724	NA
mm_zf_xp_13287	ENSMUSG00000027577	ENSDARG00000087071	NA
mm_zf_xp_13288	ENSMUSG00000016346	ENSDARG00000075307	kcnq2
mm_zf_xp_13289	ENSMUSG00000016349	ENSDARG00000006838	eef1a2
mm_zf_xp_13290	ENSMUSG00000016344	ENSDARG00000007682	ppdpf
mm_zf_xp_13291	ENSMUSG00000016344	ENSDARG00000031317	ppdpf
mm_zf_xp_13292	ENSMUSG00000038751	ENSDARG00000017947	ptk6
mm_zf_xp_13293	ENSMUSG00000038751	ENSDARG00000059956	ptk6
mm_zf_xp_13294	ENSMUSG00000027579	ENSDARG00000077783	LOC100491303
mm_zf_xp_13295	ENSMUSG00000027579	ENSDARG00000077783	Xetrov90024601m
mm_zf_xp_13296	ENSMUSG00000027580	ENSDARG00000016527	LOC101731382
mm_zf_xp_13297	ENSMUSG00000027580	ENSDARG00000012446	LOC101731382
mm_zf_xp_13298	ENSMUSG00000027580	ENSDARG00000012600	LOC101731382
mm_zf_xp_13299	ENSMUSG00000038705	ENSDARG00000093240	NA
mm_zf_xp_13300	ENSMUSG00000027581	ENSDARG00000038465	NA
mm_zf_xp_13301	ENSMUSG00000038685	ENSDARG00000035074	Xetrov90028073m
mm_zf_xp_13302	ENSMUSG00000038685	ENSDARG00000035074	NA
mm_zf_xp_13303	ENSMUSG00000038671	ENSDARG00000057857	NA
mm_zf_xp_13304	ENSMUSG00000027582	ENSDARG00000027403	NA
mm_zf_xp_13305	ENSMUSG00000027583	ENSDARG00000078191	NA
mm_zf_xp_13306	ENSMUSG00000055882	ENSDARG00000071004	NA
mm_zf_xp_13307	ENSMUSG00000000827	ENSDARG00000013655	NA
mm_zf_xp_13308	ENSMUSG00000000827	ENSDARG00000027154	NA
mm_zf_xp_13309	ENSMUSG00000000826	ENSDARG00000042948	dnajc5g
mm_zf_xp_13310	ENSMUSG00000000826	ENSDARG00000004836	dnajc5g
mm_zf_xp_13311	ENSMUSG00000089917	ENSDARG00000078973	uckl1
mm_zf_xp_13312	ENSMUSG00000000823	ENSDARG00000071055	znf512b
mm_zf_xp_13313	ENSMUSG00000000823	ENSDARG00000071055	Xetrov90017206m
mm_zf_xp_13314	ENSMUSG00000000823	ENSDARG00000071055	Xetrov90027788m
mm_zf_xp_13315	ENSMUSG00000000823	ENSDARG00000071055	Xetrov90024577m
mm_zf_xp_13316	ENSMUSG00000038605	ENSDARG00000094377	NA
mm_zf_xp_13317	ENSMUSG00000038605	ENSDARG00000079978	NA
mm_zf_xp_13318	ENSMUSG00000002455	ENSDARG00000091367	prpf6
mm_zf_xp_13319	ENSMUSG00000046470	NA	sox18
mm_zf_xp_13320	ENSMUSG00000059540	ENSDARG00000012927	NA
mm_zf_xp_13321	ENSMUSG00000002458	ENSDARG00000077385	NA
mm_zf_xp_13322	ENSMUSG00000027584	ENSDARG00000071209	oprl1
mm_zf_xp_13323	ENSMUSG00000010505	ENSDARG00000074030	myt1
mm_zf_xp_13324	ENSMUSG00000010505	ENSDARG00000102879	myt1
mm_zf_xp_13325	ENSMUSG00000000730	ENSDARG00000052402	NA
mm_zf_xp_13326	ENSMUSG00000000730	ENSDARG00000057830	NA
mm_zf_xp_13327	ENSMUSG00000000730	ENSDARG00000057863	NA
mm_zf_xp_13328	ENSMUSG00000032834	ENSDARG00000037109	NA
mm_zf_xp_13329	ENSMUSG00000024042	ENSDARG00000058606	NA
mm_zf_xp_13330	ENSMUSG00000024039	ENSDARG00000053500	cbs
mm_zf_xp_13331	ENSMUSG00000024039	ENSDARG00000010946	cbs
mm_zf_xp_13332	ENSMUSG00000061613	ENSDARG00000015325	NA
mm_zf_xp_13333	ENSMUSG00000024041	ENSDARG00000053502	NA
mm_zf_xp_13334	ENSMUSG00000031481	ENSDARG00000056985	NA
mm_zf_xp_13335	ENSMUSG00000032948	ENSDARG00000005332	NA
mm_zf_xp_13336	ENSMUSG00000032948	ENSDARG00000034667	NA
mm_zf_xp_13337	ENSMUSG00000032940	ENSDARG00000090202	rbm11
mm_zf_xp_13338	ENSMUSG00000032932	ENSDARG00000040984	hspa13
mm_zf_xp_13339	ENSMUSG00000022876	ENSDARG00000078647	samsn1
mm_zf_xp_13340	ENSMUSG00000022876	ENSDARG00000054543	samsn1
mm_zf_xp_13341	ENSMUSG00000048490	ENSDARG00000068894	nrip1
mm_zf_xp_13342	ENSMUSG00000048490	ENSDARG00000068965	nrip1
mm_zf_xp_13343	ENSMUSG00000022867	ENSDARG00000012314	usp25
mm_zf_xp_13344	ENSMUSG00000022865	ENSDARG00000043658	LOC100495227
mm_zf_xp_13345	ENSMUSG00000022865	ENSDARG00000043658	cxadr
mm_zf_xp_13346	ENSMUSG00000022863	ENSDARG00000069065	btg3
mm_zf_xp_13347	ENSMUSG00000022864	ENSDARG00000030803	NA
mm_zf_xp_13348	ENSMUSG00000022860	ENSDARG00000034528	chodl
mm_zf_xp_13349	ENSMUSG00000022857	NA	tmprss15
mm_zf_xp_13350	ENSMUSG00000022762	ENSDARG00000017466	ncam2
mm_zf_xp_13351	ENSMUSG00000022889	ENSDARG00000041570	NA
mm_zf_xp_13352	ENSMUSG00000053062	ENSDARG00000079071	jam2
mm_zf_xp_13353	ENSMUSG00000053062	ENSDARG00000058996	jam2
mm_zf_xp_13354	ENSMUSG00000022890	ENSDARG00000077967	NA
mm_zf_xp_13355	ENSMUSG00000022890	ENSDARG00000089853	NA
mm_zf_xp_13356	ENSMUSG00000008976	ENSDARG00000069289	gabpa
mm_zf_xp_13357	ENSMUSG00000022892	ENSDARG00000055543	NA
mm_zf_xp_13358	ENSMUSG00000022892	ENSDARG00000104279	NA
mm_zf_xp_13359	ENSMUSG00000041134	NA	cyyr1
mm_zf_xp_13360	ENSMUSG00000022893	ENSDARG00000103519	adamts1
mm_zf_xp_13361	ENSMUSG00000022894	ENSDARG00000100307	adamts5
